simpanan_ref,koperasi_ref,anggota_ref,periode_pembayaran,jumlah_simpanan,status,dibuat_pada,dibayar_pada
SIMPAN-C07EEF555328,KOP-FF3354FE674F,AGT-3A97FE2B91E4,Simpanan Pokok,25000,PAID,2026-06-04 20:22:08,2025-02-25 15:22:00
SIMPAN-047DF8FF48E9,KOP-54442CE443AF,AGT-CE02DE7AFC48,Simpanan Wajib,25000,PAID,2025-05-08 10:04:35,2025-03-07 12:27:26
SIMPAN-A9D8189A83C5,KOP-54442CE443AF,AGT-0BA4D25B629D,Simpanan Wajib,100000,PAID,2025-12-11 13:29:59,2025-12-18 11:28:37
SIMPAN-79317E936F92,KOP-54442CE443AF,AGT-0BA4D25B629D,Simpanan Pokok,50000,UNPAID,2026-02-13 13:46:42,2025-02-28 12:57:45
SIMPAN-E985B41D0052,KOP-54442CE443AF,AGT-0BA4D25B629D,Simpanan Wajib,25000,PAID,2026-04-13 14:37:45,2025-05-23 00:56:05
SIMPAN-9B5F9F91CBED,KOP-54442CE443AF,AGT-0BA4D25B629D,Simpanan Pokok,100000,PAID,2025-09-12 13:24:50,2026-04-08 22:30:48
SIMPAN-63259B185BAA,KOP-54442CE443AF,AGT-01353F0A3826,Simpanan Pokok,100000,PAID,2025-10-28 22:06:23,2025-07-19 05:12:44
SIMPAN-0B1084EB3B27,KOP-54442CE443AF,AGT-01353F0A3826,Simpanan Pokok,25000,PAID,2025-03-31 10:58:18,2026-04-24 06:07:07
SIMPAN-84CB0A18F144,KOP-54442CE443AF,AGT-01353F0A3826,Simpanan Wajib,25000,PAID,2025-09-04 08:51:37,2025-08-05 06:12:18
SIMPAN-A6C490E79712,KOP-54442CE443AF,AGT-01353F0A3826,Simpanan Pokok,25000,PAID,2025-01-30 05:50:02,2025-12-01 13:57:44
SIMPAN-7687BE830D59,KOP-54442CE443AF,AGT-7C024D6C8E25,Simpanan Wajib,25000,PAID,2025-09-23 04:12:43,2025-10-25 03:11:32
SIMPAN-308715A0EC53,KOP-54442CE443AF,AGT-7C024D6C8E25,Simpanan Pokok,25000,PAID,2025-07-12 04:13:38,2026-01-12 04:38:20
SIMPAN-FC8F0AFC9648,KOP-54442CE443AF,AGT-7C024D6C8E25,Simpanan Wajib,50000,UNPAID,2025-01-02 11:18:57,2025-03-05 21:29:00
SIMPAN-340C4C162EED,KOP-54442CE443AF,AGT-7C024D6C8E25,Simpanan Pokok,50000,PAID,2025-11-24 13:17:24,2025-05-10 18:55:24
SIMPAN-F196F1172A34,KOP-54442CE443AF,AGT-7C024D6C8E25,Simpanan Pokok,25000,PAID,2025-01-10 19:35:55,2026-04-17 11:30:09
SIMPAN-150C3B0CCDAC,KOP-54442CE443AF,AGT-8D535C45618E,Simpanan Wajib,100000,PAID,2025-03-02 12:07:45,2025-06-06 07:40:05
SIMPAN-1FC69C544857,KOP-54442CE443AF,AGT-8D535C45618E,Simpanan Pokok,100000,UNPAID,2025-02-23 06:31:04,2026-05-15 14:15:55
SIMPAN-1CEE0B41D563,KOP-54442CE443AF,AGT-8D535C45618E,Simpanan Wajib,100000,PAID,2025-01-23 19:56:59,2026-02-06 12:17:05
SIMPAN-1C477B108C97,KOP-54442CE443AF,AGT-8D535C45618E,Simpanan Wajib,100000,PAID,2025-12-23 14:14:56,2026-02-05 02:36:54
SIMPAN-76D598E9A02D,KOP-54442CE443AF,AGT-1F628896C1A6,Simpanan Wajib,25000,PAID,2025-08-12 07:07:24,2025-01-10 13:11:17
SIMPAN-2738A0E56F85,KOP-54442CE443AF,AGT-1F628896C1A6,Simpanan Pokok,100000,PAID,2026-01-21 15:33:02,2025-06-22 02:03:03
SIMPAN-89DAF88B7385,KOP-54442CE443AF,AGT-1F628896C1A6,Simpanan Pokok,50000,PAID,2025-07-03 01:54:37,2025-05-01 18:45:59
SIMPAN-BD34CD3524F6,KOP-54442CE443AF,AGT-1F628896C1A6,Simpanan Wajib,100000,PAID,2025-06-02 22:49:38,2026-02-18 08:55:12
SIMPAN-FD8F496DBDF7,KOP-54442CE443AF,AGT-21199B8C35E0,Simpanan Pokok,25000,PAID,2026-05-16 23:21:10,2026-06-06 08:11:22
SIMPAN-7FD4BC7F0B1F,KOP-54442CE443AF,AGT-23CEC1BCD8C9,Simpanan Wajib,100000,UNPAID,2026-06-27 17:47:16,2025-03-07 18:53:33
SIMPAN-ACB4DD111013,KOP-54442CE443AF,AGT-DA936DB01305,Simpanan Wajib,25000,PAID,2025-05-08 18:25:41,2025-11-02 13:14:12
SIMPAN-63A14F4C0A14,KOP-54442CE443AF,AGT-713E0E5526A8,Simpanan Pokok,100000,PAID,2025-02-15 08:37:57,2025-02-07 06:50:51
SIMPAN-420090C756DB,KOP-54442CE443AF,AGT-713E0E5526A8,Simpanan Pokok,50000,PAID,2025-05-18 21:55:24,2025-08-10 21:32:46
SIMPAN-C278A2A1BE93,KOP-54442CE443AF,AGT-713E0E5526A8,Simpanan Wajib,50000,PAID,2026-03-09 02:42:26,2025-09-19 09:29:27
SIMPAN-F66F303C73E4,KOP-54442CE443AF,AGT-713E0E5526A8,Simpanan Wajib,100000,PAID,2026-02-14 16:36:17,2025-03-27 09:15:15
SIMPAN-F31CC8397B3A,KOP-54442CE443AF,AGT-713E0E5526A8,Simpanan Wajib,100000,PAID,2025-07-28 02:34:08,2025-10-03 23:03:04
SIMPAN-92C884708879,KOP-54442CE443AF,AGT-5FA2C59C2D58,Simpanan Wajib,25000,PAID,2025-04-02 13:12:35,2025-12-08 09:56:55
SIMPAN-4EDCECDECF32,KOP-54442CE443AF,AGT-5FA2C59C2D58,Simpanan Pokok,25000,PAID,2025-01-11 03:33:58,2026-01-22 08:05:27
SIMPAN-D3D5F71B3B70,KOP-54442CE443AF,AGT-5FA2C59C2D58,Simpanan Wajib,25000,PAID,2025-06-29 19:10:06,2025-11-10 21:26:18
SIMPAN-5B1FE84D246D,KOP-54442CE443AF,AGT-5FA2C59C2D58,Simpanan Wajib,25000,UNPAID,2025-12-24 20:49:53,2025-10-16 20:04:51
SIMPAN-41893D6674AF,KOP-54442CE443AF,AGT-5FA2C59C2D58,Simpanan Wajib,100000,PAID,2025-02-19 06:13:00,2025-11-22 14:11:00
SIMPAN-2187FED82173,KOP-54442CE443AF,AGT-FC74A69625B9,Simpanan Pokok,100000,UNPAID,2026-03-05 16:40:03,2025-07-07 15:58:55
SIMPAN-764402F3AFF5,KOP-54442CE443AF,AGT-FC74A69625B9,Simpanan Wajib,50000,UNPAID,2025-10-21 10:02:32,2026-03-15 18:57:15
SIMPAN-23A2354AF1B3,KOP-54442CE443AF,AGT-FC74A69625B9,Simpanan Pokok,50000,UNPAID,2025-03-31 11:07:43,2026-02-21 11:23:11
SIMPAN-4436667238E1,KOP-54442CE443AF,AGT-56CC16C40101,Simpanan Pokok,50000,PAID,2025-07-14 00:15:55,2026-03-12 19:27:15
SIMPAN-0642680F8A26,KOP-54442CE443AF,AGT-56CC16C40101,Simpanan Wajib,25000,UNPAID,2026-06-25 22:10:48,2025-02-13 22:06:49
SIMPAN-B6DAC807C5A7,KOP-54442CE443AF,AGT-56CC16C40101,Simpanan Wajib,25000,UNPAID,2026-06-21 08:11:40,2025-06-29 02:44:06
SIMPAN-4455E3D08423,KOP-54442CE443AF,AGT-56CC16C40101,Simpanan Wajib,25000,UNPAID,2025-12-28 01:51:12,2026-03-09 18:02:27
SIMPAN-7929D463C137,KOP-54442CE443AF,AGT-56CC16C40101,Simpanan Wajib,25000,PAID,2025-04-26 12:18:16,2025-09-13 19:37:43
SIMPAN-056D4403477B,KOP-54442CE443AF,AGT-824FA5FF1436,Simpanan Wajib,25000,UNPAID,2026-04-17 11:57:43,2025-11-02 12:53:05
SIMPAN-E14837FE188D,KOP-54442CE443AF,AGT-C24E3E8B3C8A,Simpanan Wajib,25000,PAID,2026-02-09 13:37:41,2025-11-03 13:16:15
SIMPAN-1F35834B3884,KOP-54442CE443AF,AGT-C24E3E8B3C8A,Simpanan Wajib,25000,UNPAID,2025-10-03 03:57:26,2026-03-26 23:53:39
SIMPAN-BB05D25CC0E0,KOP-54442CE443AF,AGT-8FD97181C80D,Simpanan Wajib,100000,PAID,2025-05-02 15:19:53,2026-05-16 20:01:45
SIMPAN-5548099C780F,KOP-54442CE443AF,AGT-8FD97181C80D,Simpanan Wajib,100000,UNPAID,2025-05-11 11:49:43,2026-02-14 18:16:19
SIMPAN-0E6772EF09D0,KOP-54442CE443AF,AGT-B568E96C0C57,Simpanan Pokok,50000,PAID,2025-06-06 18:36:49,2025-07-11 09:04:58
SIMPAN-7EDE5F8D35F8,KOP-54442CE443AF,AGT-B568E96C0C57,Simpanan Wajib,25000,PAID,2025-09-11 15:37:30,2025-07-23 17:15:14
SIMPAN-B829ED1D0278,KOP-54442CE443AF,AGT-B568E96C0C57,Simpanan Pokok,100000,UNPAID,2026-05-30 22:14:58,2025-07-05 06:52:09
SIMPAN-1435AB1B86A1,KOP-54442CE443AF,AGT-B568E96C0C57,Simpanan Pokok,25000,PAID,2025-05-16 14:36:36,2025-02-09 09:58:15
SIMPAN-7A9B942F4C49,KOP-54442CE443AF,AGT-6C4B3CD6EBD8,Simpanan Wajib,25000,PAID,2026-01-08 10:12:53,2025-12-26 15:13:17
SIMPAN-FAB9C461CE79,KOP-54442CE443AF,AGT-538942D5F320,Simpanan Pokok,25000,UNPAID,2025-01-14 20:05:21,2025-05-14 12:03:32
SIMPAN-A1003E362376,KOP-54442CE443AF,AGT-538942D5F320,Simpanan Wajib,100000,PAID,2026-06-26 22:01:01,2026-01-16 08:40:28
SIMPAN-66CA5D5D00BF,KOP-54442CE443AF,AGT-538942D5F320,Simpanan Wajib,25000,UNPAID,2026-01-29 03:10:33,2025-04-19 04:45:02
SIMPAN-DAAFB83DDC3E,KOP-54442CE443AF,AGT-B2EA10377BA1,Simpanan Wajib,100000,PAID,2026-01-10 16:19:43,2025-05-01 15:52:43
SIMPAN-D19BA1C2A78E,KOP-54442CE443AF,AGT-B2EA10377BA1,Simpanan Pokok,50000,PAID,2026-06-21 18:20:43,2025-01-23 06:04:40
SIMPAN-9AA667F3FA05,KOP-54442CE443AF,AGT-B2EA10377BA1,Simpanan Wajib,100000,PAID,2025-10-24 01:39:16,2025-03-04 06:55:28
SIMPAN-5AC904FF6BF4,KOP-54442CE443AF,AGT-B2EA10377BA1,Simpanan Wajib,50000,UNPAID,2026-06-30 18:41:43,2025-03-18 06:01:34
SIMPAN-E258D5734DCF,KOP-54442CE443AF,AGT-A4185D43B5DF,Simpanan Wajib,50000,PAID,2025-10-31 09:46:34,2025-05-02 06:13:47
SIMPAN-F9DB967DC421,KOP-54442CE443AF,AGT-A4185D43B5DF,Simpanan Pokok,25000,UNPAID,2025-09-01 10:37:32,2025-02-10 23:17:15
SIMPAN-8B0DA9C8A1CB,KOP-54442CE443AF,AGT-A4185D43B5DF,Simpanan Pokok,50000,PAID,2025-10-04 01:52:32,2025-09-12 07:38:41
SIMPAN-5E12F4191C14,KOP-54442CE443AF,AGT-A4185D43B5DF,Simpanan Pokok,25000,UNPAID,2025-12-22 23:02:07,2026-01-13 11:49:00
SIMPAN-C727A3299E13,KOP-54442CE443AF,AGT-A4185D43B5DF,Simpanan Pokok,100000,UNPAID,2025-09-28 04:51:52,2026-02-23 22:15:48
SIMPAN-180276A06E01,KOP-B75BA893E859,AGT-499E11996E0F,Simpanan Wajib,50000,UNPAID,2025-05-08 18:10:22,2026-04-12 15:04:30
SIMPAN-4495BF0FF5EC,KOP-B75BA893E859,AGT-85236339499A,Simpanan Wajib,100000,UNPAID,2025-04-12 03:11:24,2025-04-17 03:15:49
SIMPAN-F54802010DFA,KOP-B75BA893E859,AGT-85236339499A,Simpanan Pokok,100000,PAID,2025-04-17 18:04:24,2025-04-13 23:03:57
SIMPAN-2FEDA330DEDC,KOP-B75BA893E859,AGT-85236339499A,Simpanan Wajib,100000,UNPAID,2025-02-03 10:33:18,2026-03-07 07:42:50
SIMPAN-B5A6ECDB67A1,KOP-B75BA893E859,AGT-85236339499A,Simpanan Pokok,50000,UNPAID,2026-01-26 04:10:07,2025-07-20 17:05:48
SIMPAN-A314FBE79EB7,KOP-B75BA893E859,AGT-0B00FA99CBC4,Simpanan Pokok,50000,UNPAID,2025-11-22 12:12:00,2025-06-24 20:49:57
SIMPAN-F253152A85FE,KOP-B75BA893E859,AGT-7E954F19C16F,Simpanan Pokok,100000,PAID,2026-06-01 04:18:35,2026-02-06 22:50:23
SIMPAN-C4B31A5EFA93,KOP-B75BA893E859,AGT-7E954F19C16F,Simpanan Wajib,100000,PAID,2025-11-27 07:25:07,2025-04-06 03:23:44
SIMPAN-AB1C78EDDBE0,KOP-B75BA893E859,AGT-97F7897B163E,Simpanan Pokok,100000,PAID,2026-01-23 09:29:01,2025-02-22 10:00:40
SIMPAN-FCE3B22CBFF1,KOP-B75BA893E859,AGT-97F7897B163E,Simpanan Pokok,25000,UNPAID,2025-01-24 23:14:34,2025-04-16 04:02:20
SIMPAN-CC2788CC35F2,KOP-B75BA893E859,AGT-97F7897B163E,Simpanan Wajib,100000,PAID,2025-04-20 05:09:50,2025-10-17 09:32:20
SIMPAN-EF1D8034DC70,KOP-B75BA893E859,AGT-12F3D9FA53AB,Simpanan Pokok,25000,PAID,2025-01-11 06:30:19,2025-02-02 04:16:02
SIMPAN-6350C4E460FF,KOP-B75BA893E859,AGT-12F3D9FA53AB,Simpanan Wajib,50000,PAID,2025-01-06 05:46:00,2026-06-19 09:15:57
SIMPAN-29BEF68B9B5F,KOP-B75BA893E859,AGT-12F3D9FA53AB,Simpanan Pokok,25000,UNPAID,2025-01-31 19:30:48,2025-01-24 18:51:34
SIMPAN-1BD8BF58389A,KOP-B75BA893E859,AGT-12F3D9FA53AB,Simpanan Pokok,25000,PAID,2025-04-28 07:53:57,2025-01-31 11:55:31
SIMPAN-B7A5157301C9,KOP-B75BA893E859,AGT-82C7728235C4,Simpanan Wajib,50000,PAID,2025-11-16 06:01:52,2025-07-30 17:45:41
SIMPAN-A76873EA791D,KOP-B75BA893E859,AGT-82C7728235C4,Simpanan Wajib,50000,PAID,2025-10-06 11:36:19,2025-04-21 22:06:39
SIMPAN-B8E9E1F91A57,KOP-B75BA893E859,AGT-A146BB863532,Simpanan Wajib,50000,PAID,2026-01-02 08:55:54,2025-03-16 07:50:04
SIMPAN-0089975AD725,KOP-B75BA893E859,AGT-A146BB863532,Simpanan Wajib,50000,PAID,2025-11-18 04:27:10,2025-01-10 11:35:58
SIMPAN-C14622A073C8,KOP-B75BA893E859,AGT-254D37E75B32,Simpanan Wajib,100000,PAID,2025-11-22 11:39:18,2025-07-22 07:10:37
SIMPAN-87F7833B6EEF,KOP-B75BA893E859,AGT-2FC94FEA7BA3,Simpanan Wajib,50000,PAID,2026-02-17 01:20:50,2026-07-01 19:12:22
SIMPAN-EEDD6BDC5919,KOP-B75BA893E859,AGT-36181585E378,Simpanan Wajib,100000,PAID,2026-01-18 22:29:59,2025-04-16 01:03:58
SIMPAN-CDBC7A583599,KOP-B75BA893E859,AGT-36181585E378,Simpanan Pokok,25000,PAID,2025-05-23 03:49:40,2025-11-27 15:51:45
SIMPAN-476660FE3553,KOP-B75BA893E859,AGT-36181585E378,Simpanan Pokok,25000,PAID,2025-07-15 13:25:49,2025-01-06 01:54:40
SIMPAN-A60F3C0D7BBF,KOP-B75BA893E859,AGT-36181585E378,Simpanan Wajib,25000,PAID,2025-02-19 11:04:43,2025-03-18 09:36:07
SIMPAN-8C3CB91F9C5B,KOP-B75BA893E859,AGT-A7554D2CDF7B,Simpanan Pokok,100000,PAID,2026-05-17 10:12:51,2025-11-26 17:34:29
SIMPAN-86209D352810,KOP-B75BA893E859,AGT-A7554D2CDF7B,Simpanan Pokok,25000,PAID,2025-10-31 03:00:52,2025-12-28 20:20:05
SIMPAN-2A91C019401D,KOP-B75BA893E859,AGT-A7554D2CDF7B,Simpanan Pokok,100000,UNPAID,2025-07-30 02:50:25,2025-03-18 18:00:28
SIMPAN-089DBDAA0A6F,KOP-B75BA893E859,AGT-A7554D2CDF7B,Simpanan Pokok,25000,PAID,2025-08-10 17:02:41,2026-01-30 06:50:30
SIMPAN-D13386D946FD,KOP-B75BA893E859,AGT-A7554D2CDF7B,Simpanan Wajib,25000,PAID,2025-08-02 21:30:01,2026-06-25 18:42:41
SIMPAN-C429BFD4E478,KOP-B75BA893E859,AGT-2E548ACAFFB2,Simpanan Wajib,100000,UNPAID,2025-04-15 05:21:45,2026-04-18 03:54:07
SIMPAN-D6F8A04143A3,KOP-B75BA893E859,AGT-2E548ACAFFB2,Simpanan Pokok,25000,PAID,2026-04-17 06:48:34,2025-10-01 01:02:26
SIMPAN-A50B9A0EF13B,KOP-B75BA893E859,AGT-50EB934511A5,Simpanan Wajib,50000,PAID,2025-02-20 23:36:56,2026-01-27 15:23:09
SIMPAN-4C4EF5896820,KOP-B75BA893E859,AGT-50EB934511A5,Simpanan Pokok,50000,PAID,2026-02-17 06:25:53,2025-10-10 19:16:50
SIMPAN-1075E38C9162,KOP-B75BA893E859,AGT-50EB934511A5,Simpanan Wajib,100000,PAID,2025-04-22 01:48:56,2025-09-12 04:02:39
SIMPAN-0C6C459BB069,KOP-B75BA893E859,AGT-50EB934511A5,Simpanan Pokok,25000,PAID,2025-02-06 20:56:36,2025-09-30 08:41:35
SIMPAN-C758E45DFC68,KOP-B75BA893E859,AGT-E163FAE44158,Simpanan Wajib,100000,PAID,2025-04-07 06:44:18,2026-05-31 22:39:02
SIMPAN-1C39A75068B4,KOP-B75BA893E859,AGT-E163FAE44158,Simpanan Wajib,100000,PAID,2025-09-02 06:11:52,2025-11-19 02:31:43
SIMPAN-E5DE2C9BD504,KOP-B75BA893E859,AGT-E163FAE44158,Simpanan Pokok,25000,PAID,2026-04-12 05:09:50,2025-01-14 17:16:46
SIMPAN-E46E7147E4DD,KOP-B75BA893E859,AGT-E163FAE44158,Simpanan Wajib,50000,PAID,2025-07-01 09:36:21,2025-03-20 06:12:57
SIMPAN-C5F654797175,KOP-B75BA893E859,AGT-E163FAE44158,Simpanan Pokok,100000,PAID,2026-05-01 21:13:55,2025-01-02 17:46:43
SIMPAN-AF0C1161487C,KOP-B75BA893E859,AGT-C3498577B25D,Simpanan Wajib,100000,PAID,2025-09-17 13:15:48,2026-04-15 00:29:37
SIMPAN-1E9A057EB624,KOP-B75BA893E859,AGT-C3498577B25D,Simpanan Wajib,50000,UNPAID,2025-12-08 18:51:13,2026-05-11 04:06:19
SIMPAN-6A5A3F45137B,KOP-B75BA893E859,AGT-C3498577B25D,Simpanan Wajib,100000,UNPAID,2025-01-22 05:23:05,2026-02-25 08:01:09
SIMPAN-9A2BF9ECF977,KOP-B75BA893E859,AGT-3E383089D3EF,Simpanan Wajib,50000,PAID,2026-03-04 10:03:28,2025-11-13 06:56:18
SIMPAN-99A0E58821D9,KOP-B75BA893E859,AGT-3E383089D3EF,Simpanan Pokok,100000,UNPAID,2025-12-18 22:17:44,2025-05-06 15:46:54
SIMPAN-9E4FBE99D372,KOP-B75BA893E859,AGT-3E383089D3EF,Simpanan Wajib,100000,PAID,2025-10-23 04:00:42,2025-01-09 18:09:55
SIMPAN-F44EEA073EDD,KOP-B75BA893E859,AGT-C02AB3A17906,Simpanan Pokok,50000,PAID,2025-01-06 15:40:03,2025-12-27 00:01:24
SIMPAN-B88FD39D235D,KOP-B75BA893E859,AGT-3E9553D1D5F7,Simpanan Pokok,100000,UNPAID,2026-01-31 15:23:06,2026-02-13 03:34:23
SIMPAN-8B45ABF7665E,KOP-B75BA893E859,AGT-3E9553D1D5F7,Simpanan Wajib,50000,UNPAID,2025-11-15 06:18:35,2026-03-23 11:44:28
SIMPAN-4095DD16AA90,KOP-B75BA893E859,AGT-3E9553D1D5F7,Simpanan Pokok,100000,PAID,2025-09-14 04:56:25,2026-03-03 20:10:51
SIMPAN-9FA106494DC9,KOP-B75BA893E859,AGT-E8A0895463D4,Simpanan Wajib,50000,PAID,2026-02-25 16:47:41,2025-01-29 20:20:57
SIMPAN-90AA593FCA9B,KOP-B75BA893E859,AGT-E8A0895463D4,Simpanan Pokok,50000,PAID,2025-05-24 22:23:56,2025-11-06 08:50:04
SIMPAN-21FD93F637F4,KOP-B75BA893E859,AGT-E8A0895463D4,Simpanan Wajib,25000,UNPAID,2025-10-28 01:56:57,2026-02-07 04:35:06
SIMPAN-A788BAB39B16,KOP-B75BA893E859,AGT-1F4ACBB1F630,Simpanan Pokok,100000,PAID,2026-06-13 05:14:54,2026-05-23 04:57:58
SIMPAN-960A0F2FB89F,KOP-B75BA893E859,AGT-1F4ACBB1F630,Simpanan Pokok,100000,UNPAID,2025-06-08 10:57:18,2025-11-15 00:14:05
SIMPAN-CDE9D612703C,KOP-B75BA893E859,AGT-1F4ACBB1F630,Simpanan Wajib,100000,UNPAID,2025-07-25 04:10:35,2025-03-10 00:00:04
SIMPAN-4A5BD279451A,KOP-B75BA893E859,AGT-1F4ACBB1F630,Simpanan Pokok,100000,PAID,2026-06-17 03:31:36,2025-09-11 07:26:17
SIMPAN-028DA285D76C,KOP-B75BA893E859,AGT-1F4ACBB1F630,Simpanan Pokok,50000,PAID,2026-06-02 16:09:31,2026-02-05 02:01:34
SIMPAN-AF59B3E3764F,KOP-B75BA893E859,AGT-57A1A751FE78,Simpanan Pokok,50000,PAID,2025-10-24 10:32:18,2025-04-13 21:26:10
SIMPAN-ACBF43EDC4F2,KOP-B75BA893E859,AGT-57A1A751FE78,Simpanan Wajib,50000,UNPAID,2025-10-09 14:14:33,2026-01-31 03:54:28
SIMPAN-FF4EBA2C930A,KOP-B75BA893E859,AGT-AFFB1BA664B4,Simpanan Wajib,25000,PAID,2026-01-02 18:13:39,2026-05-31 07:40:27
SIMPAN-C9602C35CB86,KOP-B75BA893E859,AGT-AFFB1BA664B4,Simpanan Wajib,100000,UNPAID,2026-02-04 18:40:45,2025-03-06 06:21:11
SIMPAN-788D41DAEBB0,KOP-B75BA893E859,AGT-AFFB1BA664B4,Simpanan Pokok,50000,UNPAID,2025-12-14 16:43:45,2025-05-24 10:08:02
SIMPAN-A883FEE8B7A4,KOP-B75BA893E859,AGT-AFFB1BA664B4,Simpanan Wajib,50000,PAID,2026-05-11 13:42:31,2026-04-29 22:03:28
SIMPAN-AA456594C1B1,KOP-B75BA893E859,AGT-76B1208C3C13,Simpanan Wajib,25000,UNPAID,2025-08-31 03:50:19,2025-06-28 13:59:02
SIMPAN-A58F0E6A5788,KOP-B75BA893E859,AGT-76B1208C3C13,Simpanan Wajib,25000,PAID,2025-09-14 04:10:04,2025-02-08 02:39:12
SIMPAN-3CD3EFD6EEB3,KOP-B75BA893E859,AGT-76B1208C3C13,Simpanan Wajib,50000,UNPAID,2025-01-31 06:20:15,2025-11-25 03:55:11
SIMPAN-5253932AB8CA,KOP-B75BA893E859,AGT-76B1208C3C13,Simpanan Wajib,50000,PAID,2025-07-24 07:07:33,2025-09-16 17:52:49
SIMPAN-5B51639DABB9,KOP-B75BA893E859,AGT-7159931C8937,Simpanan Pokok,50000,PAID,2026-06-25 18:03:54,2025-07-14 07:33:14
SIMPAN-6BB438ED3316,KOP-B75BA893E859,AGT-7159931C8937,Simpanan Wajib,100000,PAID,2026-01-01 22:31:05,2025-05-22 02:26:42
SIMPAN-D9CC40286C2E,KOP-B75BA893E859,AGT-7159931C8937,Simpanan Wajib,50000,UNPAID,2026-01-21 02:34:48,2025-03-22 04:37:51
SIMPAN-BE1AFEB8E9BD,KOP-B75BA893E859,AGT-7159931C8937,Simpanan Wajib,25000,PAID,2026-05-26 08:23:41,2025-02-22 21:53:58
SIMPAN-D420231F6A15,KOP-B75BA893E859,AGT-7159931C8937,Simpanan Wajib,25000,PAID,2025-10-24 09:09:09,2026-02-04 13:01:51
SIMPAN-A5CA778C1C9D,KOP-B75BA893E859,AGT-0BA40F7CC52D,Simpanan Pokok,25000,PAID,2026-03-08 09:29:54,2025-07-25 12:10:48
SIMPAN-2489329C3143,KOP-B75BA893E859,AGT-0BA40F7CC52D,Simpanan Pokok,25000,PAID,2025-12-04 02:16:09,2025-08-30 17:58:11
SIMPAN-6F77CED61665,KOP-B75BA893E859,AGT-0BA40F7CC52D,Simpanan Pokok,100000,UNPAID,2025-02-06 12:35:30,2025-03-14 15:09:17
SIMPAN-0337B2449218,KOP-B75BA893E859,AGT-2E1E25713AED,Simpanan Pokok,100000,UNPAID,2026-01-24 00:39:31,2026-05-09 01:53:54
SIMPAN-791A15AF4EBB,KOP-B75BA893E859,AGT-9020F4F9609A,Simpanan Pokok,25000,PAID,2025-02-16 00:32:32,2025-09-13 02:04:15
SIMPAN-A681FE67573B,KOP-B75BA893E859,AGT-773270A5C432,Simpanan Wajib,100000,PAID,2026-05-22 12:59:47,2025-08-14 16:08:55
SIMPAN-4CA7DFD82BC3,KOP-BDF249453F76,AGT-31016985E679,Simpanan Pokok,25000,PAID,2025-04-27 01:25:19,2026-03-11 18:01:44
SIMPAN-853469677B0B,KOP-BDF249453F76,AGT-E2E078453D4B,Simpanan Pokok,50000,UNPAID,2025-07-29 22:21:18,2026-01-16 18:54:36
SIMPAN-965AFF961EE2,KOP-BDF249453F76,AGT-E2E078453D4B,Simpanan Wajib,50000,PAID,2025-08-04 12:01:16,2025-05-19 05:58:47
SIMPAN-49E8DE79D035,KOP-BDF249453F76,AGT-A2303C5B0F97,Simpanan Wajib,100000,PAID,2025-03-10 12:45:34,2025-08-20 12:33:34
SIMPAN-8F9302302DE2,KOP-BDF249453F76,AGT-C95EE3CF4472,Simpanan Pokok,25000,UNPAID,2026-01-28 12:01:14,2025-10-11 22:25:25
SIMPAN-F271D431F1EC,KOP-BDF249453F76,AGT-C95EE3CF4472,Simpanan Wajib,25000,PAID,2025-01-03 08:26:26,2025-08-10 03:19:31
SIMPAN-CD28185C4CC0,KOP-BDF249453F76,AGT-C95EE3CF4472,Simpanan Pokok,25000,PAID,2026-05-02 00:00:32,2025-11-28 02:49:55
SIMPAN-D20FEBBABA6F,KOP-BDF249453F76,AGT-D647B8B7545C,Simpanan Pokok,100000,PAID,2025-06-20 23:04:29,2025-10-12 05:12:08
SIMPAN-B1FE18FA81FA,KOP-BDF249453F76,AGT-D647B8B7545C,Simpanan Wajib,100000,PAID,2026-05-17 09:07:18,2025-05-04 20:18:45
SIMPAN-5F8D0398B718,KOP-BDF249453F76,AGT-D647B8B7545C,Simpanan Wajib,100000,PAID,2025-07-02 00:55:15,2026-01-10 16:58:09
SIMPAN-82BA3AFA24EE,KOP-BDF249453F76,AGT-D647B8B7545C,Simpanan Wajib,100000,PAID,2025-08-07 22:27:48,2025-07-15 13:55:29
SIMPAN-713F2D06B548,KOP-BDF249453F76,AGT-D647B8B7545C,Simpanan Wajib,25000,UNPAID,2025-01-11 07:07:48,2026-03-29 13:08:35
SIMPAN-804F0333C957,KOP-BDF249453F76,AGT-0B6A798690D1,Simpanan Pokok,100000,PAID,2026-04-11 17:51:04,2025-06-27 17:14:15
SIMPAN-5C69E17B4797,KOP-BDF249453F76,AGT-FBFDC3BBC2BE,Simpanan Wajib,25000,UNPAID,2025-10-12 07:04:11,2025-01-18 12:06:43
SIMPAN-69ADFB0CB4A6,KOP-BDF249453F76,AGT-B4A862CA0F8C,Simpanan Wajib,25000,UNPAID,2025-01-04 11:19:44,2025-10-08 20:24:33
SIMPAN-9A4E5D9F7EAC,KOP-BDF249453F76,AGT-B4A862CA0F8C,Simpanan Wajib,25000,PAID,2026-04-23 20:41:11,2025-03-30 20:36:51
SIMPAN-CD02C6F53398,KOP-BDF249453F76,AGT-6331DB738F2C,Simpanan Pokok,50000,PAID,2026-01-24 10:27:07,2025-07-02 10:09:24
